d000.s000.t001	v	's	be%2:42:03::
d000.s000.t004	n	man	man%1:18:00::
d000.s000.t006	v	said	say%2:32:01::
d000.s001.t001	v	peered	peer%2:39:00::
d000.s001.t005	n	drinking	Unknow
d000.s001.t006	n	companion	companion%1:18:00::
d000.s001.t008	a	bleary	bleary%5:00:00:indistinct:00
d000.s001.t010	a	tear-filled	tear%2:35:00::
d000.s001.t011	n	eyes	eye%1:08:00::
d000.s002.t001	v	had	have%2:40:00::
d000.s002.t003	a	ready	ready%5:00:01:available:00
d000.s002.t004	n	answer	answer%1:04:00::
d000.s002.t007	a	much	much%3:00:00::
d000.s002.t010	n	surprise	surprise%1:12:00::
d000.s002.t014	n	fit	fit%1:26:00::
d000.s002.t016	n	coughing	coughing%1:04:00::
d000.s003.t000	v	Was	be%2:42:03::
d000.s003.t002	n	man	man%1:18:00::
d000.s003.t003	a	drunk	drunk%3:00:00::
d000.s003.t005	a	crazy	crazy%5:00:00:insane:00
d000.s004.t002	a	new-found	newfound%5:00:00:new:00
d000.s004.t003	n	buddy	buddy%1:18:00::
d000.s004.t005	v	matched	match%2:42:00::
d000.s004.t007	n	drink	drink%1:13:04::
d000.s004.t009	n	drink	drink%1:13:04::
d000.s004.t012	v	lost	lose%2:40:02::
d000.s004.t013	n	count	count%1:23:00::
d000.s004.t017	n	man	man%1:18:00::
d000.s004.t019	n	eyes	eye%1:08:00::
d000.s004.t020	v	were	be%2:42:03::
d000.s004.t022	a	clear	clear%3:00:02::
d000.s005.t001	n	guy	guy%1:18:00::
d000.s005.t002	v	is	be%2:42:03::
d000.s005.t005	n	rocker	rocker%1:06:01::
d000.s005.t008	v	thought	think%2:31:12::
d000.s005.t015	v	looked_away	look_away%2:39:00::
d000.s005.t019	n	eyes	eye%1:08:00::
d000.s006.t000	n	Eyes	eye%1:08:00::
d000.s006.t003	v	were	be%2:42:03::
d000.s006.t004	a	clear	clear%3:00:02::
d000.s006.t008	a	bright	bright%5:00:00:colorful:00
d000.s006.t011	a	strange	strange%3:00:00::
d000.s006.t012	n	intensity	intensity%1:07:00::
d000.s006.t017	a	cold	cold%5:00:00:intense:00
d000.s006.t018	n	fire	fire%1:12:00::
d000.s006.t019	v	burning	burn%2:37:00::
d000.s007.t004	v	noticed	notice%2:39:00::
d000.s008.t003	n	man	man%1:18:00::
d000.s008.t004	v	was	be%2:42:03::
d000.s008.t006	a	drunk	drunk%3:00:00::
d000.s009.t001	v	wondered	wonder%2:32:01::
d000.s009.t004	v	got	get%2:30:00::
d000.s009.t005	v	tied	tie%2:41:01::
d000.s009.t009	n	stranger	stranger%1:18:00::
d000.s010.t003	r	of_course	U
d000.s010.t006	v	remembered	remember%2:31:00::
d000.s011.t002	v	blurred	blur%2:30:00::
d000.s011.t007	n	hours	hour%1:28:00::
d000.s011.t009	a	steady	steady%3:00:00::
d000.s011.t010	n	drinking	drinking%1:04:01::
d000.s011.t014	n	occasion	occasion%1:11:00::
d000.s011.t017	v	came_back	come_back%2:30:00::
d000.s012.t001	n	stranger	stranger%1:18:00::
d000.s012.t004	n	head	head%1:08:00::
d000.s012.t006	v	sunk	sink%2:38:07::
d000.s012.t009	n	thought	thought%1:09:00::
d000.s012.t011	v	started	start%2:30:00::
d000.s012.t014	v	cross	cross%2:38:00::
d000.s012.t016	n	street	street%1:06:01::
d000.s012.t019	n	light	light%1:10:00::
d000.s012.t023	a	huge	huge%5:00:01:large:00
d000.s012.t024	n	moving_van	moving_van%1:06:00::
d000.s012.t026	v	roared	roar%2:38:00::
d000.s012.t029	n	intersection	intersection%1:06:00::
d000.s013.t000	n	Brakes	brake%1:06:00::
d000.s013.t001	v	howled	howl%2:32:01::
d000.s013.t004	n	horn	horn%1:06:05::
d000.s013.t005	v	blared	blare%2:39:00::
d000.s013.t010	n	man	man%1:18:00::
d000.s013.t014	v	hit	hit%2:35:01::
d000.s013.t020	v	called_out	call_out%2:32:01::
d000.s013.t025	n	second	second%1:28:00::
d000.s014.t001	n	shout	shout%1:10:00::
d000.s014.t003	v	been	be%2:42:03::
d000.s014.t004	a	involuntary	involuntary%3:00:02::
d000.s014.t006	n	something	something%1:03:00::
d000.s014.t011	v	done	do%2:36:01::
d000.s014.t014	n	thinking	thinking%1:09:00::
d000.s014.t018	r	on_the_spur_of_the_moment	on_the_spur_of_the_moment%4:02:00::
d000.s015.t002	r	As_a_matter_of_fact	as_a_matter_of_fact%4:02:00::
d000.s015.t010	v	cared	care%2:37:02::
d000.s015.t015	n	guy	guy%1:18:00::
d000.s015.t018	v	hit	hit%2:35:01::
d000.s016.t003	v	regretted	regret%2:37:00::
d000.s016.t006	v	opened	open%2:35:00::
d000.s016.t008	n	mouth	mouth%1:08:01::
d000.s016.t011	n	truck	truck%1:06:00::
d000.s016.t012	v	came_to	come_to%2:41:00::
d000.s016.t015	n	stop	stop%1:11:00::
d000.s016.t018	a	angry	angry%3:00:00::
d000.s016.t019	n	driver	driver%1:18:00::
d000.s016.t020	v	jumped	jump%2:38:00::
d000.s016.t024	n	cab	cab%1:06:02::
d000.s016.t026	v	walked	walk%2:38:00::
d000.s017.t004	n	stranger	stranger%1:18:00::
d000.s017.t006	v	thanking	thank%2:32:00::
d000.s017.t010	v	had	have%2:30:00::
d000.s017.t012	n	arm	arm%1:08:00::
d000.s017.t015	n	shoulders	shoulder%1:08:00::
d000.s017.t019	v	were	be%2:42:03::
d000.s017.t021	a	old	old%3:00:01::
d000.s017.t022	n	friend	friend%1:18:00::
d000.s018.t002	n	driver	driver%1:18:00::
d000.s018.t003	v	started	start%2:30:00::
d000.s018.t006	v	curse	curse%2:32:02::
d000.s018.t015	v	been	be%2:42:05::
d000.s018.t018	n	plot	plot%1:09:00::
d000.s018.t023	v	ruin	ruin%2:41:00::
d000.s018.t025	a	safe-driving	safe%5:00:00:sound:00
